check_date,check_name,table_name,severity,status,metric_value,expected_range,failure_details,created_at,incident_id,incident_status,incident_summary,incident_root_cause_type,incident_root_cause_details,incident_opened_at,incident_owner
2019-11-17,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,68247.0,> 0,,2026-02-06 16:02:14.645828,,,,,,,
2019-11-17,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,6502957.0,>= 1000,,2026-02-06 16:02:14.575982,,,,,,,
2019-11-17,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:02:14.680593,,,,,,,
2019-11-18,freshness_has_events_on_run_date,core.fact_events,P0,PASS,2021512.0,> 0 rows on run_date,,2026-02-06 16:02:19.663399,,,,,,,
2019-11-18,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,185195.0,> 0,,2026-02-06 16:02:19.79794,,,,,,,
2019-11-18,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,6395377.0,>= 1000,,2026-02-06 16:02:19.730795,,,,,,,
2019-11-18,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:02:19.83317,,,,,,,
2019-11-19,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1728541.0,> 0 rows on run_date,,2026-02-06 16:02:24.173104,,,,,,,
2019-11-19,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,28537.0,> 0,,2026-02-06 16:02:24.323019,,,,,,,
2019-11-19,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,2021512.0,>= 1000,,2026-02-06 16:02:24.253162,,,,,,,
2019-11-19,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:02:24.359898,,,,,,,
2019-11-20,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1700086.0,> 0 rows on run_date,,2026-02-06 16:02:28.610889,,,,,,,
2019-11-20,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24967.0,> 0,,2026-02-06 16:02:28.742954,,,,,,,
2019-11-20,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1728541.0,>= 1000,,2026-02-06 16:02:28.679563,,,,,,,
2019-11-20,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:02:28.779189,,,,,,,
2019-11-21,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1677336.0,> 0 rows on run_date,,2026-02-06 16:02:33.146078,,,,,,,
2019-11-21,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24947.0,> 0,,2026-02-06 16:02:33.297671,,,,,,,
2019-11-21,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1700086.0,>= 1000,,2026-02-06 16:02:33.227082,,,,,,,
2019-11-21,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:02:33.338677,,,,,,,
2019-11-22,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1568243.0,> 0 rows on run_date,,2026-02-06 16:02:37.568388,,,,,,,
2019-11-22,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,25266.0,> 0,,2026-02-06 16:02:37.688583,,,,,,,
2019-11-22,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1677336.0,>= 1000,,2026-02-06 16:02:37.630361,,,,,,,
2019-11-22,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:02:37.728727,,,,,,,
2019-11-23,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1561716.0,> 0 rows on run_date,,2026-02-06 16:02:41.726378,,,,,,,
2019-11-23,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24187.0,> 0,,2026-02-06 16:02:41.866866,,,,,,,
2019-11-23,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1568243.0,>= 1000,,2026-02-06 16:02:41.801162,,,,,,,
2019-11-23,null_rate_session_id_run_date,core.fact_events,P1,PASS,6.403212876092708e-05,<= 1%,,2026-02-06 16:02:41.906029,,,,,,,
2019-11-24,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1591765.0,> 0 rows on run_date,,2026-02-06 16:02:45.952379,,,,,,,
2019-11-24,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,22243.0,> 0,,2026-02-06 16:02:46.112919,,,,,,,
2019-11-24,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1561716.0,>= 1000,,2026-02-06 16:02:46.039466,,,,,,,
2019-11-24,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0,<= 1%,,2026-02-06 16:02:46.155614,,,,,,,
2019-11-25,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1593582.0,> 0 rows on run_date,,2026-02-06 16:02:50.347724,,,,,,,
2019-11-25,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,23163.0,> 0,,2026-02-06 16:02:50.496246,,,,,,,
2019-11-25,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1591765.0,>= 1000,,2026-02-06 16:02:50.424385,,,,,,,
2019-11-25,null_rate_session_id_run_date,core.fact_events,P1,PASS,0.0001255034256160022,<= 1%,,2026-02-06 16:02:50.545495,,,,,,,
2019-11-26,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1654879.0,> 0 rows on run_date,,2026-02-06 16:02:54.841895,,,,,,,
2019-11-26,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24827.0,> 0,,2026-02-06 16:02:55.011155,,,,,,,
2019-11-26,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1593582.0,>= 1000,,2026-02-06 16:02:54.932138,,,,,,,
2019-11-26,null_rate_session_id_run_date,core.fact_events,P1,PASS,6.0427378678441146e-05,<= 1%,,2026-02-06 16:02:55.060139,,,,,,,
2019-11-27,freshness_has_events_on_run_date,core.fact_events,P0,PASS,1646456.0,> 0 rows on run_date,,2026-02-06 16:02:59.340282,,,,,,,
2019-11-27,purchase_events_vanish_prev_day,core.fact_events,P0,PASS,24226.0,> 0,,2026-02-06 16:02:59.500425,,,,,,,
2019-11-27,volume_prev_day_events_min_1000,core.fact_events,P0,PASS,1654879.0,>= 1000,,2026-02-06 16:02:59.4264,,,,,,,
2019-11-27,null_rate_session_id_run_date,core.fact_events,P1,PASS,6.073651527887778e-05,<= 1%,,2026-02-06 16:02:59.548203,,,,,,,
